,Text,Class
0,s   from the training manual it show there is no tech process  its all about password reset and troubleshooting  ,ham
1,do you want a new video phone  600 anytime any network mins 400 inclusive video calls and downloads 5 per week free deltomorrow call 08002888812 or reply now,spam
2,true  its easier with her here ,ham
3,midnight at the earliest,ham
4,all done  all handed in  don t know if mega shop in asda counts as celebration but thats what i m doing ,ham
5,tick  tick  tick     babe,ham
6,ok how you dear  did you call chechi,ham
7,fyi i m taking a quick shower  be at epsilon in like   lt   gt   min,ham
8,thk some of em find wtc too far    weiyi not goin    e rest i dunno yet    r ur goin 4 dinner den i might b able to join   ,ham
9,mmmmmmm  snuggles into you      deep contented sigh       whispers      i fucking love you so much i can barely stand it    ,ham
10,i come n pick ì_ up    come out immediately aft ur lesson   ,ham
11,best line said in love     i will wait till the day i can forget u or the day u realize that u cannot forget me       gn ,ham
12,what are your new years plans ,ham
13,if you don t  your prize will go to another customer  t c at www t c biz 18  150p min polo ltd suite 373 london w1j 6hl please call back if busy,spam
14,i not free today i haf 2 pick my parents up tonite   ,ham
15,hey there  glad u r better now  i hear u treated urself to a digi cam  is it good  we r off at 9pm  have a fab new year  c u in coupla wks ,ham
16,hey sexy buns   have i told you   i adore you  loverboy  i hope you remember to thank your sister in law for those meatballs  grins      i love you  babe,ham
17,i said its okay  sorry,ham
18,married local women looking for discreet action now  5 real matches instantly to your phone  text match to 69969 msg cost 150p 2 stop txt stop bcmsfwc1n3xx,spam
19,tells u 2 call 09066358152 to claim å 5000 prize  u have 2 enter all ur mobile   personal details   the prompts  careful ,spam
20,yes i posted a couple of pics on fb  there s still snow outside too  i m just waking up   ,ham
21,it wont b until 2 15 as trying 2 sort house out  is that ok ,ham
22,super da  good replacement for murali,ham
23,what part of  don t initiate   don t you understand ,ham
24,hard live 121 chat just 60p min  choose your girl and connect live  call 09094646899 now  cheap chat uk s biggest live service  vu bcm1896wc1n3xx,spam
25,so u workin overtime nigpun ,ham
26,i want to see your pretty pussy   ,ham
27,ok then i will come to ur home after half an hour,ham
28,urgent  you have won a 1 week free membership in our å 100 000 prize jackpot  txt the word  claim to no  81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18,spam
29,tell you what  if you make a little spreadsheet and track whose idea it was to smoke to determine who  smokes too much   for the entire month of february,ham
30,get your garden ready for summer with a free selection of summer bulbs and seeds worth å 33 50 only with the scotsman this saturday  to stop go2 notxt co uk,spam
31,aathi  where are you dear  ,ham
32,i ain t answerin no phone at what is actually a pretty reasonable hour but i m sleepy,ham
33,where to get those ,ham
34,hello  they are going to the village pub at 8 so either come here or there accordingly  ok ,ham
35,urgent  your mobile number has been awarded with a å 2000 bonus caller prize  call 09058095201 from land line  valid 12hrs only,spam
36,can help u swoop by picking u up from wherever ur other birds r meeting if u want ,ham
37,yep  the great loxahatchee xmas tree burning of   lt   gt   starts in an hour,ham
38,congrats  1 year special cinema pass for 2 is yours  call 09061209465 now  c suprman v  matrix3  starwars3  etc all 4 free  bx420 ip4 5we  150pm  dont miss out ,spam
39,sorry about that this is my mates phone and i didnt write it love kate,ham
40,wan2 win a meet greet with westlife 4 u or a m8  they are currently on what tour  1 unbreakable  2 untamed  3 unkempt  text 1 2 or 3 to 83049  cost 50p  std text,spam
41,have a good evening  ttyl,ham
42,aiyo please ì_ got time meh ,ham
43,you have won a nokia 7250i  this is what you get when you win our free auction  to take part send nokia to 86021 now  hg suite342 2lands row w1jhl 16 ,spam
44,u ûªve bin awarded å 50 to play 4 instant cash  call 08715203028 to claim  every 9th player wins min å 50 å 500  optout 08718727870,spam
45,nvm    i m going to wear my sport shoes anyway    i m going to be late leh ,ham
46,well  i was about to give up cos they all said no they didn û t do one nighters  i persevered and found one but it is very cheap so i apologise in advance  it is just somewhere to sleep isnt it ,ham
47,well  you know what i mean  texting,ham
48,pls give her prometazine syrup  5mls then   lt   gt  mins later feed ,ham
49,arun can u transfr me d amt,ham
50,oh god  i m gonna google nearby cliffs now ,ham
51,sunshine hols  to claim ur med holiday send a stamped self address envelope to drinks on us uk  po box 113  bray  wicklow  eire  quiz starts saturday  unsub stop,spam
52,when are you guys leaving ,ham
53,  you gonna ring this weekend or wot ,ham
54,i am in your office na ,ham
55,his bday real is in april  ,ham
56,eh u send wrongly lar   ,ham
57,nice line said by a broken heart  plz don t cum 1 more times infront of me    other wise once again i ll trust u    good 9t  ,ham
58,i know you are serving  i mean what are you doing now ,ham
59,finally the match heading towards draw as your prediction ,spam
60,sun cant come to earth but send luv as rays  cloud cant come to river but send luv as rain  i cant come to meet u  but can send my care as msg to u  gud evng,ham
