Class,Text
ham,convey my regards to him
ham,  û_  anyway  many good evenings to u  s
ham,my sort code is  and acc no is   the bank is natwest  can you reply to confirm i ve sent this to the right person 
ham,sorry i din lock my keypad 
spam,hi babe its chloe  how r u  i was smashed on saturday night  it was great  how was your weekend  u been missing me  sp visionsms com text stop to stop 150p text
ham,ok i thk i got it  then u wan me 2 come now or wat 
ham,oi when you gonna ring
ham,will be office around 4 pm  now i am going hospital 
ham,have you heard about that job  i m going to that wildlife talk again tonight if u want2come  its that2worzels and a wizzle or whatever it is   
ham,oh my god  i m almost home
ham,no dear i do have free messages without any recharge  hi hi hi
ham,actually fuck that  just do whatever  do find an excuse to be in tampa at some point before january though
ham,ok which your another number
ham,hey so whats the plan this sat  
ham,i know where the   lt   gt   is  i ll be there around 5
ham,are you plans with your family set in stone  
ham,ummma will call after check in our life will begin from qatar so pls pray very hard 
ham,sir  waiting for your mail 
ham,that sucks  so what do you got planned for your yo valentine  i am your yo valentine aren t i 
ham,what happened to our yo date 
ham,ooooooh i forgot to tell u i can get on yoville on my phone
ham,its posible dnt live in   lt   gt  century cm frwd n thnk different
ham,nobody can decide where to eat and dad wants chinese
ham,i need    coz i never go before 
ham,lol  oops sorry  have fun  
ham,hello  yeah i ve just got out of the bath and need to do my hair so i ll come up when i m done  yeah 
ham,no just send to you  bec you in temple na 
ham,i want snow  it s just freezing and windy 
ham,when can ì_ come out 
ham,hey gorgeous man  my work mobile number is  have a good one babe  squishy mwahs 
ham,i emailed yifeng my part oredi   can ì_ get it fr him  
ham,okie
ham,i want to send something that can sell fast    lt   gt  k is not easy money 
ham,nah i don t think he goes to usf  he lives around here though
ham,not able to do anything 
ham,of cos can lar i m not so ba dao ok    1 pm lor    y u never ask where we go ah    i said u would ask on fri but he said u will ask today   
ham,i am not having her number sir
ham,i m at home  please call
ham,beautiful truth against gravity   read carefully   our heart feels light when someone is in it   but it feels very heavy when someone leaves it     goodmorning 
ham,no no  i will check all rooms befor activities
ham,nope i waiting in sch 4 daddy    
ham,ok   
ham,don t necessarily expect it to be done before you get back though because i m just now headin out
ham, hey kate
spam,3 free tarot texts  find out about your love life now  try 3 for free  text chance to 85555 16 only  after 3 free  msgs å 1 50 each
ham,i m in office now da  where are you 
ham,i had askd u a question some hours before  its answer
ham,pls accept me for one day  or am begging you change the number 
ham,hello  just got here  st andrews boy its a long way  its cold  i will keep you posted
ham,u havenåõt lost me ill always b here 4u i didnåõt intend 2 hurt u but i never knew how u felt about me when iwas marine thatåõs what itried2tell urmom i careabout u
ham,u should have made an appointment
ham,sorry  i ll call later
ham,i am at the gas station  go there 
ham,yes  princess  are you going to make me moan 
ham,call me when you get the chance plz  lt 3
ham,ok
ham,no worries  hope photo shoot went well  have a spiffing fun at workage  
ham,hey i will be late ah    meet you at 945 
ham,u repeat e instructions again  wat s e road name of ur house 
ham,aight  sounds good  when do you want me to come down 
spam,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or å 250 cash every wk  txt vpod to 81303 ts cs www textpod net custcare 08712405020 
ham,iåõm cool ta luv but v tired 2 cause i have been doin loads of planning all wk  we have got our social services inspection at the nursery  take care   spk sn x 
spam,ree entry in 2 a weekly comp for a chance to win an ipod  txt pod to 80182 to get entry  std txt rate  t c s apply 08452810073 for details 18 
ham,yes obviously  but you are the eggs pert and the potato head û_ speak soon  
ham, thinking of u    x   
ham,s   kallis wont play in first two odi   
ham,whom you waited for yesterday
ham,madam regret disturbance might receive a reference check from dlf premarica kindly be informed rgds rakhesh kerala 
ham,about   lt   gt  bucks  the banks fees are fixed  better to call the bank and find out 
ham,she s fine  good to hear from you  how are you my dear  happy new year oh 
spam,sms auction   a brand new nokia 7250 is up 4 auction today  auction is free 2 join   take part  txt nokia to 86021 now  hg suite342 2lands row w1j6hl
spam,this is the 2nd time we have tried 2 contact u  u have won the å 750 pound prize  2 claim is easy  call 087187272008 now1  only 10p per minute  bt national rate 
ham,good afternon  my love  how are today  i hope your good and maybe have some interviews  i wake and miss you babe  a passionate kiss from across the sea
ham,fighting with the world is easy  u either win or lose bt fightng with some1 who is close to u is dificult if u lose   u lose if u win   u still lose 
spam,we tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
ham,if you re thinking of lifting me one then no 
ham,hiya hows it going in sunny africa  hope u r avin a good time  give that big old silver back a big kiss from me 
ham,babe      i love you       covers your face in kisses 
ham,no i am not having not any movies in my laptop
ham,yes  he is really great  bhaji told kallis best cricketer after sachin in world   very tough to get out 
ham,i know that my friend already told that 
ham,it should take about   lt   gt   min
spam,winner   as a valued network customer you have been selected to receivea å 900 prize reward  to claim call 09061701461  claim code kl341  valid 12 hours only 
ham,i always chat with you  in fact i need money can you raise me 
ham,ok lor wat time ì_ finish 
ham,i ll always be there  even if its just in spirit  i ll get a bb soon  just trying to be sure i need it 
ham,watching cartoon  listening music  amp  at eve had to go temple  amp  church   what about u 
ham,armand says get your ass over to epsilon
ham,oh  shit  i thought that was your trip  loooooool     that just makes so much more sense now      grins  and the sofa reference was     the  sleep on a couch   link you sent me     wasn t that how you went on your trip   oh     and didn t your babe go with you for that celebration with your rents  
ham,mm you ask him to come its enough    
ham,neva mind it s ok  
ham,excellent  are you ready to moan and scream in ecstasy 
ham,it has everything to do with the weather  keep extra warm  its a cold but nothing serious  pls lots of vitamin c
ham,hello  good week  fancy a drink or something later 
ham,u ned to convince him tht its not possible witot hurting his feeling its the main
ham,i m back  amp  we re packing the car now  i ll let you know if there s room
ham,forgot it takes me 3 years to shower  sorry  where you at your phone dead yet 
ham,boo i m on my way to my moms  she s making tortilla soup  yummmm
ham,that s fine  i ll bitch at you about it later then
ham,aight ill get on fb in a couple minutes
ham,hai priya are you right  what doctor said pa  where are you 
ham,well good morning mr   hows london treatin  ya treacle 
spam,449050000301 you have won a å 2 000 price  to claim  call 09050000301 
ham,take care n get well soon
ham,well  i have to leave for my class babe     you never came back to me             hope you have a nice sleep  my love
ham,great  i hope you like your man well endowed  i am   lt   gt   inches   
spam,free top ringtone  sub to weekly ringtone get 1st week free send subpoly to 81618  3 per week stop sms 08718727870
ham,mm so you asked me not to call radio
ham,take us out shopping and mark will distract isaiah  d
spam,free msg we billed your mobile number by mistake from shortcode 83332 please call 08081263000 to have charges refunded this call will be free from a bt landline
ham,could you not read me  my love   i answered you
ham,she s good  how are you  where r u working now
ham,stupid its not possible
ham,sorry  left phone upstairs  ok  might be hectic but would be all my birds with one fell swoop  it s a date 
ham,sorry for the delay  yes masters
ham,having lunch  you are not in online why 
ham,ok    sweet dreams   
ham,of course   don t tease me     you know i simply must see    grins      do keep me posted my prey      loving smile   devouring kiss 
ham,for fear of fainting with the of all that housework you just did  quick have a cuppa
ham,he fucking chickened out  he messaged me he would be late and woould buzz me and then i didn t hear a word from him
ham,get me out of this dump heap  my mom decided to come to lowes  boring 
spam,you are a winner u have been specially selected 2 receive å 1000 or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810910p min  18   
ham,until 545 lor    ya  can go 4 dinner together   
ham,me too watching surya movie only     after 6 pm vijay movie pokkiri
ham,r u still working now 
ham,he is there  you call and meet him
ham,k  did you call me just now ah  
ham,i am going to film 2day da  at 6pm  sorry da 
ham,i m in a movie  call me 4 wat 
ham,lil fever   now fine  
ham,that s necessarily respectful
ham,idk  you keep saying that you re not  but since he moved  we keep butting heads over freedom vs  responsibility  and i m tired  i have so much other shit to deal with that i m barely keeping myself together once this gets added to it 
ham,  will have two more cartons off u and is very pleased with shelves
ham,anything lar   
ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7 30 wanna do somethin later  call me later ortxt back jess xx
ham,s   if we have one good partnership going we will take lead  
ham,also tell him i said happy birthday
spam,urgent  your mobile no was awarded a å 2 000 bonus caller prize on 1 08 03  this is our 2nd attempt to contact you  call 0871 4719 523 box95qu bt national rate
ham,no it was cancelled yeah baby  well that sounds important so i understand my darlin give me a ring later on this fone love kate x
ham,i m e person who s doing e sms survey   
ham, hey babe  far 2 spun out 2 spk at da mo    dead 2 da wrld  been sleeping on da sofa all day
ham,yar lor    keep raining non stop    or u wan 2 go elsewhere 
ham,thanks again for your reply today  when is ur visa coming in  and r u still buying the gucci and bags  my sister things are not easy  uncle john also has his own bills so i really need to think about how to make my own money  later sha 
